Document type;Authors;Title;Source;Full journal;Publication year;Volume;Issue;Pages;Folders filed in;Publisher;Date published;ISSN;ISSN (alt.);URLs;DOI;Abstract;Keywords
Journal Article;Zemguliene J,Valukonis M;Structured literature review on business process performance analysis and evaluation;J. Entrep.. Sustain. Issu.;Journal of Entrepreneurship and Sustainability Issues;2018;;;;"References;mestrado;mestrado/with pdf";;2018;2345-0282;;http://dx.doi.org/10.9770/jesi.2018.6.1(15);10.9770/jesi.2018.6.1(15);Knowledge of business process analysis instruments and methods enhance the possibility to quantify process management decisions and to achieve organizations’ goals. While the amount of research on business process analysis and evaluation increases, there is a need to outline the intellectual structure of scientific research as embodied in business process scientific literature in order to define the streams of research. The purpose of this paper is to present actionable knowledge of business process performance analysis and evaluation, based on the framework, integrating business process research domains and levels of analysis. In order to establish a framework, integrating the domains of business process analysis, the research questions were formulated and the analysis of the scientific literature was carried out applying the method of structured literature review. Literature review was based on a research papers that were available through the EBSCO host, Academic search complete databases. References were searched using the keywords that are formed as combinations of words: business process, analysis, performance, evaluation. Research contributions, addressing the business process analysis topic, were selected by the keywords within the papers’ title, abstract and in the keywords specified in the article. After the initial evaluation of 677 papers, 62 articles were selected for in-depth analysis. This paper contributes to the business process management research by proposing the framework to integrate various business process analysis research streams and highlighting exploratory potential areas for future inquiry. © 2018 by author(s) and VsI Entrepreneurship and Sustainability Center.;"Business process; Business process performance; Business process performance indicators; Process evaluation"
Book;Zdravkovi_ M,Panetto H,Trajanovi_ M;Towards an approach for formalizing the supply chain operations;;;2010;;;;"References;mestrado;mestrado/with pdf";;2010;;;http://dx.doi.org/10.1145/1839707.1839732;10.1145/1839707.1839732;Reference models play an important role in the knowledge management of the various complex collaboration domains (such as Supply Chain Networks). However, they often show a lack of semantic precision and, they are sometimes incomplete. In this paper, we present an approach to overcome semantic inconsistencies and incompleteness of the Supply Chain Operations Reference (SCOR) model and hence, improve its usefulness and expand the application domain. First, we describe a literal OWL specification of SCOR concepts (and related tools), built with intention to preserve the original approach in the classification of process reference model entities and hence, to enable effectiveness of usage in original contexts. Next, we demonstrate the system for its exploitation, in specific - tools for SCOR framework browsing and rapid supply chain process configuration. Then, we describe the SCOR-FULL ontology and its intended use. Finally, we elaborate the potential impact of the presented approach, to interoperability of systems in Supply Chain Networks.;
Journal Article;Zarrin M,Schoenfelder J,Brunner JO;Homogeneity and Best Practice Analyses in Hospital Performance Management: An Analytical Framework;Health Care Manag. Sci.;Health care management science;2022;;;;"References;mestrado;mestrado/with pdf";;2022;1386-9620;1572-9389;http://dx.doi.org/10.1007/s10729-022-09590-8;10.1007/s10729-022-09590-8;Abstract Performance modeling of hospitals using data envelopment analysis (DEA) has received steadily increasing attention in the literature. As part of the traditional DEA framework, hospitals are generally assumed to be functionally similar and therefore homogenous. Accordingly, any identified inefficiency is supposedly due to the inefficient use of inputs to produce outputs. However, the disparities in DEA efficiency scores may be a result of the inherent heterogeneity of hospitals. Additionally, traditional DEA models lack predictive capabilities despite having been frequently used as a benchmarking tool in the literature. To address these concerns, this study proposes a framework for analyzing hospital performance by combining two complementary modeling approaches. Specifically, we employ a self-organizing map artificial neural network (SOM-ANN) to conduct a cluster analysis and a multilayer perceptron ANN (MLP-ANN) to perform a heterogeneity analysis and a best practice analysis. The applicability of the integrated framework is empirically shown by an implementation to a large dataset containing more than 1,100 hospitals in Germany. The framework enables a decision-maker not only to predict the best performance but also to explore whether the differences in relative efficiency scores are ascribable to the heterogeneity of hospitals.;"Cluster Analysis; Data Envelopment Analysis; Hospital Efciency Analysis; Artifcial Neural Networks; Heterogeneity Analysis"
Journal Article;Zapf M,Lindheimer U,Heinzl A;The myth of accelerating business processes through parallel job designs;Inf. Syst. E-bus. Manag.;Information systems and e-business management;2007;;;;"References;mestrado;mestrado/with pdf";;2007;1617-9846;1617-9854;http://dx.doi.org/10.1007/s10257-006-0039-4;10.1007/s10257-006-0039-4;;"Business process design; Coordination theory; Parallel designs; Job parallelization; Order processing; Process simulation"
Journal Article;Yurtay Y,Yurtay N,Demirci H,Zaimoglu EA,Goksu A;Improvement and Implementation of Sustainable Key Performance Indicators in Supply Chain Management: The Case of a Furniture Firm;IEEE Access;IEEE access: practical innovations, open solutions;2023;;;;"References;mestrado;mestrado/with pdf";;2023;2169-3536;;http://dx.doi.org/10.1109/ACCESS.2023.3271138;10.1109/ACCESS.2023.3271138;Businesses today recognize the importance of business performance management (BPM) as an effective business strategy and practical solution to a robust supply chain management process. At the same time, businesses seek to deepen their footprints in global markets, to actively use critical metrics, KPIs (Key Performance Indicators), in business performance management, to make performance management compatible with strategic goals, up-to-date and sustainable. KPIs are priority indicators determined to achieve the strategic objectives of the enterprise. Updating the KPIs used to measure, monitor and analyze business performance also has a critical place in performance management. This article presents a case study of a novel approach to real-time updating and monitoring KPIs integrated into supply chain management (SCM) software. The proposed approach bridges the gap between measuring and implementing business performance. The study analyzes and aligns the relationships of duplicate KPIs. It systematically carries out the KPI weights of the managers in line with the strategic goals and improves performance management by eliminating the weakness in the KPI change. It also provides a framework for sustainable performance management and discusses the case study with implications of KPIs that affect performance management success. © 2013 IEEE.;"Business performance management; iterative KPI algorithm; key performance indicators; performance improvement (PI)"
Journal Article;Yousfi A,Saidi R,Dey AK;Variability patterns for business processes in BPMN;Inf. Syst. E-bus. Manag.;Information systems and e-business management;2016;;;;"References;mestrado;mestrado/with pdf";;2016;1617-9846;1617-9854;http://dx.doi.org/10.1007/s10257-015-0290-7;10.1007/s10257-015-0290-7;;"Business process improvement; Business process; BPMN; Variability; Variability pattern"
Journal Article;Yoshikuni AC,Dwivedi R,Dultra-de-Lima RG,Parisi C,Oyadomari JC;Role of Emerging Technologies in Accounting Information Systems for Achieving Strategic Flexibility through Decision-Making Performance: An Exploratory Study Based on North American and South American Firms;Glob. J. Flex. Syst. Manag.;Global journal of flexible systems management;2023;;;;"References;mestrado;mestrado/with pdf";;2023;0972-2696;0974-0198;http://dx.doi.org/10.1007/s40171-022-00334-9;10.1007/s40171-022-00334-9;Abstract Nowadays, accounting departments highly rely on accounting information systems to make decisions based on current, updated, and contemporary data. And, most accounting practices can be enhanced by emerging technologies coupled with accounting information systems. Therefore, contemporary accounting information systems (AIS) coupled with emerging technologies is the highest priority in organizations to make decisions that can contribute to strategic flexibility and performance of the organizations. The objective of the study is to identify the role of information systems infrastructure integration (ISII) on strategic flexibility and innovation (SFI) through the mediated role of information systems (IS)-enabled strategic enterprise management (IS-SEM) practices and decision-making performance (DMP). The study is based on contemporary literature in the field of emerging technologies in accounting information systems particularly business intelligence and analytics (BI &A). Resource-based view had been applied to create novel constructs to test the research framework and hypothesis. The research framework and hypothesis are tested based on 388 organizations from Brazil and USA. The results reflect that information systems infrastructure integration impacts strategic flexibility and innovations in organizations. Further, there is no difference observed between North American and South American organizations. The results of the research suggest that accounting information systems (AIS) practitioners and researchers should look beyond emerging technologies investments and shift their attention to how information systems infrastructure integration (ISII) and information systems-enabled strategic enterprise management (IS-SEM) practices can leverage decision-making performance (DMP) and impact on strategic flexibility and innovation.;Accounting information systems
Book;Yoon Y,Jacobsen HA,Chan A,Coulthar,Paschke A;3rd Event-Driven Business Process Management Workshop (edBPM);;;2009;;;;"References;mestrado;mestrado/with pdf";;2009;;;http://dx.doi.org/10.1145/1723028.1723085;10.1145/1723028.1723085;Many companies are reporting astronomical increases in event activities in enterprise IT systems worldwide. IBM reports that 72 quadrillion unique business events are generated worldwide each day. Although it is still a daunting task to design and develop systems that are capable of handling this amount of events, this trend constitutes an opportunity to drive the study of efficient, fast, and reliable BPM solutions that give rise to the processing of events at that scale. Gartner's recent report projects that market for business intelligence (BI) and business activity monitoring (BAM) will have a compound annual growth rate of 7 to 8% by 2012, and that platforms for enriched event management and processing will be in high demand.;
Book;Yoganguina BD,Samba CM;Predictive Monitoring of Business Processes: A Case Study Using a Cumulative Fact Table Model;;;2024;;;;"References;mestrado;mestrado/with pdf";;2024;;;http://dx.doi.org/10.1109/ICEET65156.2024.10913874;10.1109/ICEET65156.2024.10913874;Predictive Business Process Monitoring (BPPM) is an increasingly used technique to anticipate future events within organizations, based on the analysis of historical and real-time data. This article explores the application of a cumulative fact table model in a data warehouse to improve the accuracy and speed of predictions within the context of BPPM. Through a case study in the logistics sector, the proposed model significantly reduced the error rate in delivery time predictions and enabled faster anomaly detection compared to traditional methods. This approach has proven particularly effective for real-time monitoring of business processes, while also highlighting the need for a robust data infrastructure for its implementation.;
Book;Yim NH,Choi SK;Strategic decision making support model on RTE approach from the BPM;;;2005;;;;"References;mestrado;mestrado/with pdf";;2005;;;http://dx.doi.org/10.1145/1089551.1089625;10.1145/1089551.1089625;RTE is a new management paradigm on which core processes are executed and managed with the latest information. This concept is a needful concept to continuously strengthen corporate competitiveness in an era of unbridled competition with the collapse of traditional value chain and accelerated flow of information. Paradigm of AI (Artificial Intelligence), which is based on the assumption that existing business processing types or expertise in a predefined and limited management environment can help to make a right decision in the new future environment, and expert system should overcome rule based and model based limitations. In RTE, rather than existing business types or expertise, it is important to monitor the event or information at the present point of time that can provide support in the current situation.In this research, a model that integrates KM (Knowledge Management), BI (Business Intelligence) with business process is presented, which are essential for decision making in a real-time based corporate environment. Furthermore, in a dynamic management environment of real world, a decision making support model that can overcome three limitations that are posed by AI, Expert system paradigm shall be presented in this research.;
Book;Yao W,Kumar A;Integrating clinical pathways into CDSS using context and rules: a case study in heart disease;;;2012;;;;"References;mestrado;mestrado/with pdf";;2012;;;http://dx.doi.org/10.1145/2110363.2110431;10.1145/2110363.2110431;In this paper, we propose an ontology-based approach for integrating clinical pathways into Clinical Decision Support Systems (CDSS) recognizing that flexible pathways are critical for the success of CDSS. Our approach is based on a better understanding of clinical context through ontologies, and bringing them to bear in deciding the right rules for a certain activity. We also describe an approach for integrating and instantiating context specific subprocess fragment into a clinical pathway on the fly based on the needs of a specific case. To illustrate the feasibility of our approach, we present a system architecture and prototype implementation, along with a case study for handling patients with heart disease. The role of semantic web technologies in integrating clinical pathways into CDSS is highlighted.;
Book;Yanine F,Campos Z;Sustaining Business Performance Management: An Operational Framework;;;2023;;;;"References;mestrado;mestrado/with pdf";;2023;;;http://dx.doi.org/10.1016/j.procs.2023.07.004;10.1016/j.procs.2023.07.004;This article explores an increasingly important theme for all business sectors: sustainability and its linkage to business performance management, and proposes an operational framework based on the Balanced Scorecard model. Enterprise sustainability is a subject that is extensively being assessed and measured in various industries nowadays. We focus on Chilean SMEs and explore how a sustainability trend led by technology-related innovation and performance measurement systems can enable and allow to maintain sustainable enterprises through the today's volatile, uncertain and complex socio political and economic scenario. Worldwide, issues such as sustainability, innovation and social responsibility are driving business performance management (BPM) of thriving companies, many of which champion for greater social equity, business sustainability and fairness. This process entails a paradigm shift that is particularly noticeable in small and medium size enterprises or SMEs_the largest segment of Latin America's businesses, and especially so in Chile, a country which, according to OECD 2022's Table 8.2. Distribution of firms in Chile, 2018, SMEs account for over 90% of the enterprises in the country. © 2023 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the Tenth International Conference on Information Technology and Quantitative Management.;"Management control systems; Operational framework; Small and medium size enterprises (SMEs); Sustainable business performance management; Technology and innovation"
Journal Article;Yang Z,Sun J,Zhang Y,Wang Y;Peas and carrots just because they are green? Operational fit between green supply chain management and green information system;Inf. Syst. Front.;Information systems frontiers: a journal of research and innovation;2018;;;;"References;mestrado;mestrado/with pdf";;2018;1387-3326;1572-9419;http://dx.doi.org/10.1007/s10796-016-9698-y;10.1007/s10796-016-9698-y;;"Green supply-chain management; Green information systems; Operational fit; Organizational performances; Sustainable development"
Book;Yahya F,Boukadi K,Maamar Z,Ben-Abdallah H;Towards a meta-modeling approach for social business process requirements capture;;;2016;;;;"References;mestrado;mestrado/with pdf";;2016;;;http://dx.doi.org/10.1145/3011141.3011170;10.1145/3011141.3011170;A Social Business Process (SBP) is the result of blending social computing (a.k.a. Web 2.0) with business process (BP). Despite the benefits of SBP to enterprises, several limitations continue to undermine them. In this paper, we address two specific limitations, namely the difficulty of capturing SBP's requirements and the lack of a definition for SBP. Thus, meta-modeling is used to capture requirements from organizational, technological, and management perspectives. In addition, we introduce a definition for SBP by enriching an existing BP meta-model with social concepts. To annotate the SBP model with its requirements, a BPMN extension is proposed. The proposed meta-models are evaluated in terms of completeness and clarity using the Bunge-Wand-Weber ontology.;
Book;Yadegari Ghahderijani A;Change Recommendation in Business Processes;;;2023;;;;"References;mestrado;mestrado/with pdf";;2023;;;http://dx.doi.org/10.1007/978-3-031-26507-5_29;10.1007/978-3-031-26507-5_29;Process-aware information systems are valuable for automating business tasks leading to cost reduction and efficiency. This research aims to advance the state of the art in process management towards autonomic process performance improvement by contributing control-flow change recommendations for process instances that is supporting automatic change enactment as a response to predicted KPI violations. Towards that goal, the related literature has been investigated in two literature review studies and research gaps have been identified. The proposed generic architecture provides a feedback loop that enables evaluation of the resulting recommendations for future process instances. We also present the current state of the research and future plans. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;"(Business) process management; Autonomic process performance improvement; Key Performance Indicators (KPIs); Process change/adaptation; Process monitoring; Process-aware information systems; Recommender systems"
Journal Article;Xu J,Jain HK,Gu D,Liang C;Business-Process-Driven Service Composition in a Hybrid Cloud Environment;Inf. Syst. Front.;Information systems frontiers: a journal of research and innovation;2025;;;;"References;mestrado;mestrado/with pdf";;2025;1387-3326;1572-9419;http://dx.doi.org/10.1007/s10796-023-10436-z;10.1007/s10796-023-10436-z;;"service industries; Cloud service composition; Hybrid cloud environments; Multi-process collaborative optimization; Heuristics"
Book;Xu C,Babel S,Hoobler S,Larsen R,Olsen J,Smith S,Straumann T,Van Winkle D,Young A;Design of an ultra-compact stripline BPM receiver using microtca for LCLS-II at SLAC;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.2172/993729;10.2172/993729;The Linac Coherent Light Source II (LCLS-II) is a free electron laser (FEL) light source. LCLS II will produce 0.5 to 77 Angstroms soft and hard x-rays [1]. In order to achieve this high level of performance, the beam position measurement system needs to be accurate so the electron beam can be stable. The LCLS-II stripline Beam Position Monitor (BPM) system has a dynamic range of 10pC to 1nC bunch charge. The system has a resolution requirement of 5_m [2]. The BPM system uses the MicroTCA (Micro Telecommunication Computing Architecture) physics platform that consists of an analog front-end (AFE) and a 16-bit analog to digital converter (ADC) module. This paper will discuss the hardware design, architecture, and performance measurements of this system using the SLAC LINAC. The hardware architecture includes a bandpass filter at 300MHz with 15 MHz bandwidth, and an automated BPM calibration process. Copyright © 2013 by JACoW.;
Book;Wu Z;Application of Adaptive Algorithms in Accounting Budget Forecasting;;;2024;;;;"References;mestrado;mestrado/with pdf";;2024;;;http://dx.doi.org/10.1145/3641343.3641393;10.1145/3641343.3641393;"With the continuous changes in the economic environment and the intensification of market competition, the accuracy of accounting budget forecasts has become increasingly important for corporate strategic planning and decision-making. Traditional forecasting methods often rely on historical data and linear models, but these methods may not provide sufficient accuracy and flexibility when facing complex and dynamic market environments. In recent years, adaptive algorithms have received widespread attention due to their advantages in dealing with complex systems and dynamic environments. This article explores the application of adaptive algorithms in accounting budget forecasting and verifies its effectiveness through empirical analysis. We use the financial statement data of 1,000 different listed companies in the ""GlobalFinance"" database over the past ten years, use adaptive algorithms to make predictions, and compare them with traditional prediction methods. The results show that the adaptive algorithm outperforms the traditional method in multiple performance indicators, showing its great potential in accounting budget forecasting. This article not only provides strong empirical support for the application of adaptive algorithms in the field of financial forecasting, but also provides theoretical basis and practical guidance for enterprises to adopt this advanced technology in actual operations.";
Book;Wongwatkit C,Mar SW;A BPM-based Emerald Factory Information System: Redesigning Emerald Crafting Process in Myanmar;;;2019;;;;"References;mestrado;mestrado/with pdf";;2019;;;http://dx.doi.org/10.1145/3348445.3348484;10.1145/3348445.3348484;"In the emerald factory business, the crafting process plays a crucial role in driving the quality of products. However, such a process has limitations and difficulties in monitoring the working progress, determining the factory hours to complete the products, reporting the completed tasks, and reporting the defects. This causes cost and time inefficiency in managing this business. To reach this aim, this study, therefore, addresses such issues by employing business process management strategy to help analyze and redesign the existing crafting process for better performance, where the information system was developed to help improve the certain tasks. Hence, the swimlane diagram was used to visualize the business tasks and flows; moreover, the information system was developed and implemented for employees and managers accordingly. The overall structure and screenshots of the proposed system were presented in the paper. After being deployed on the cloud server, the system was used for weeks and evaluated by the users. The results show that both group of users highly accepted the system, while the managers had a significantly better attitude in analyzing and managing the emerald crafting process. Finally, the findings of this study shed light of the implications of understanding and redesigning the business process with the benefits of the information system to enhance business success.";
Journal Article;Williams EJ;Determination of technical support requirements of an office automation system;SIGSIM Simul. Dig.;;1988;;;;"References;mestrado;mestrado/with pdf";;1988;;;http://dx.doi.org/10.1145/47968.47971;10.1145/47968.47971;The Body and Chassis Engineering Department of Ford Motor Company recently formulated plans for greatly increasing (from 155 to 476) the number of Fortune engineering-workstation computers. This increase represents a vital step in the implementation of an office automation system. Systems-analysis personnel of the Department used discrete simulation as a tool to quantify the impact of this increase on the workload of technical support personnel. In turn, Department management used the results of these simulations to formulate a hiring plan consistent with the planned rate of terminal acquisition.;
