citation_item,item_count,frequency
benchmarking,18,2.38
guidelines,18,2.38
guide,18,2.38
generation,18,2.38
instance,18,2.38
patients,18,2.38
economy,18,2.38
fundamental,18,2.38
patient,18,2.38
computer,18,2.38
successfully,18,2.38
managerial,18,2.38
quantitative,18,2.38
optimizing,18,2.38
leads,18,2.38
scale,18,2.38
institutions,18,2.38
fuzzy,18,2.38
analytical,18,2.38
subject,18,2.38
smart,18,2.38
expert,18,2.38
enabled,18,2.38
validate,18,2.38
discusses,18,2.38
checking,17,2.25
examines,17,2.25
addressing,17,2.25
unique,17,2.25
executed,17,2.25
leading,17,2.25
directly,17,2.25
stages,17,2.25
link,17,2.25
principles,17,2.25
conformance,17,2.25
specification,17,2.25
comparison,17,2.25
category,17,2.25
fully,17,2.25
contributions,17,2.25
predictions,17,2.25
achievement,17,2.25
intensive,17,2.25
mechanisms,17,2.25
helps,17,2.25
contributes,17,2.25
ii,17,2.25
generic,17,2.25
firm,17,2.25
controlling,17,2.25
ict,17,2.25
description,17,2.25
namely,17,2.25
investigate,17,2.25
input,17,2.25
extensive,17,2.25
component,16,2.11
blockchain,16,2.11
accuracy,16,2.11
transaction,16,2.11
organisation,16,2.11
topic,16,2.11
performing,16,2.11
assets,16,2.11
engineers,16,2.11
awareness,16,2.11
visualization,16,2.11
described,16,2.11
structural,16,2.11
opportunity,16,2.11
effort,16,2.11
employed,16,2.11
sample,16,2.11
employees,16,2.11
thereby,16,2.11
discussion,16,2.11
conventional,16,2.11
compute,16,2.11
manager,16,2.11
showing,16,2.11
detection,16,2.11
overcome,16,2.11
scorecard,16,2.11
sources,16,2.11
layers,16,2.11
specified,16,2.11
allocation,16,2.11
adaptive,16,2.11
makers,16,2.11
efficiently,16,2.11
rely,16,2.11
represent,16,2.11
directions,16,2.11
digitalization,16,2.11
usefulness,16,2.11
analysts,16,2.11
abstraction,16,2.11
failure,16,2.11
recommendations,16,2.11
es,16,2.11
paradigm,16,2.11
visual,16,2.11
validation,16,2.11
constraints,16,2.11
medium,15,1.98
automate,15,1.98
slas,15,1.98
map,15,1.98
benefit,15,1.98
observed,15,1.98
ai,15,1.98
facilities,15,1.98
becomes,15,1.98
derive,15,1.98
timely,15,1.98
demonstrates,15,1.98
languages,15,1.98
beyond,15,1.98
concerns,15,1.98
determining,15,1.98
positive,15,1.98
loyalty,15,1.98
studied,15,1.98
temporal,15,1.98
regression,15,1.98
contain,15,1.98
measurements,15,1.98
focusing,15,1.98
assumption,15,1.98
identifies,15,1.98
adopted,15,1.98
advantage,15,1.98
discipline,15,1.98
deals,15,1.98
procedure,15,1.98
agent,15,1.98
sectors,15,1.98
platforms,15,1.98
reengineering,15,1.98
scheduling,15,1.98
external,14,1.85
logic,14,1.85
publications,14,1.85
errors,14,1.85
stakeholder,14,1.85
engine,14,1.85
previous,14,1.85
rapidly,14,1.85
conclude,14,1.85
automatic,14,1.85
widely,14,1.85
advanced,14,1.85
consistent,14,1.85
reviews,14,1.85
sensitive,14,1.85
experiments,14,1.85
proposal,14,1.85
domains,14,1.85
capture,14,1.85
availability,14,1.85
learned,14,1.85
extract,14,1.85
construction,14,1.85
reliable,14,1.85
validity,14,1.85
aligned,14,1.85
predict,14,1.85
faster,14,1.85
independent,14,1.85
respond,14,1.85
resilience,14,1.85
extended,14,1.85
shared,14,1.85
suggests,14,1.85
detect,14,1.85
affect,14,1.85
creation,14,1.85
electronic,14,1.85
sufficient,14,1.85
port,14,1.85
warehouse,14,1.85
investment,14,1.85
classification,13,1.72
mechanism,13,1.72
feedback,13,1.72
sc,13,1.72
variants,13,1.72
ve,13,1.72
partners,13,1.72
dimension,13,1.72
queries,13,1.72
query,13,1.72
assessing,13,1.72
taxonomy,13,1.72
improves,13,1.72
gaps,13,1.72
trace,13,1.72
index,13,1.72
marketing,13,1.72
instruments,13,1.72
egovernment,13,1.72
preliminary,13,1.72
scenario,13,1.72
declarative,13,1.72
migration,13,1.72
consideration,13,1.72
agents,13,1.72
calculation,13,1.72
achieving,13,1.72
visibility,13,1.72
nowadays,13,1.72
initiative,13,1.72
introduces,13,1.72
departments,13,1.72
combined,13,1.72
differences,13,1.72
integrate,13,1.72
involving,13,1.72
beneficial,13,1.72
aiming,13,1.72
qos,13,1.72
extension,13,1.72
shown,13,1.72
providers,13,1.72
outcome,13,1.72
teams,13,1.72
mainly,13,1.72
benchmark,13,1.72
properties,13,1.72
lean,13,1.72
mapping,12,1.59
requirement,12,1.59
setting,12,1.59
mobile,12,1.59
degree,12,1.59
facing,12,1.59
assist,12,1.59
employee,12,1.59
experiences,12,1.59
utility,12,1.59
scope,12,1.59
configuration,12,1.59
sharing,12,1.59
quantify,12,1.59
rule,12,1.59
track,12,1.59
foundation,12,1.59
extends,12,1.59
select,12,1.59
testing,12,1.59
regard,12,1.59
robotic,12,1.59
remain,12,1.59
metamodel,12,1.59
maintain,12,1.59
construct,12,1.59
ab,12,1.59
innovative,12,1.59
contexts,12,1.59
vital,12,1.59
accurate,12,1.59
ontologies,12,1.59
interactive,12,1.59
deliver,12,1.59
executable,12,1.59
module,12,1.59
devices,12,1.59
exist,12,1.59
quickly,12,1.59
competitiveness,12,1.59
verification,12,1.59
offered,12,1.59
bpms,12,1.59
asset,12,1.59
diverse,12,1.59
additionally,12,1.59
verify,12,1.59
relevance,12,1.59
latter,12,1.59
professionals,12,1.59
trends,12,1.59
miner,12,1.59
analyse,12,1.59
scores,12,1.59
reduced,12,1.59
nets,12,1.59
content,12,1.59
categories,12,1.59
managed,12,1.59
exploratory,12,1.59
artifacts,12,1.59
emerged,12,1.59
primary,12,1.59
km,12,1.59
represents,11,1.45
executions,11,1.45
interaction,11,1.45
load,11,1.45
feasibility,11,1.45
accordingly,11,1.45
suppliers,11,1.45
diagnosis,11,1.45
tested,11,1.45
agility,11,1.45
definitions,11,1.45
genetic,11,1.45
selecting,11,1.45
reducing,11,1.45
sba,11,1.45
markets,11,1.45
lessons,11,1.45
proven,11,1.45
coordination,11,1.45
highlight,11,1.45
analyses,11,1.45
artificial,11,1.45
specifications,11,1.45
adjusted,11,1.45
perceived,11,1.45
ultimately,11,1.45
previously,11,1.45
metric,11,1.45
roe,11,1.45
academic,11,1.45
dealing,11,1.45
bpa,11,1.45
mss,11,1.45
extracted,11,1.45
sized,11,1.45
aimed,11,1.45
participants,11,1.45
conduct,11,1.45
skills,11,1.45
emphasis,11,1.45
ongoing,11,1.45
interoperability,11,1.45
reported,11,1.45
sequence,11,1.45
statistical,11,1.45
generating,11,1.45
defines,11,1.45
updated,11,1.45
embedded,11,1.45
neural,11,1.45
hybrid,11,1.45
specifying,11,1.45
status,11,1.45
introduction,11,1.45
text,11,1.45
administration,11,1.45
questionnaire,11,1.45
bps,11,1.45
documents,11,1.45
reach,11,1.45
monitored,11,1.45
functionality,11,1.45
conducting,11,1.45
dataset,11,1.45
combines,11,1.45
dependencies,11,1.45
infrastructures,11,1.45
empirically,11,1.45
introducing,11,1.45
tactical,11,1.45
consuming,11,1.45
addresses,11,1.45
disciplines,11,1.45
reflect,11,1.45
databases,11,1.45
throughput,11,1.45
recognition,11,1.45
brings,11,1.45
workload,11,1.45
targets,11,1.45
startups,11,1.45
agreements,11,1.45
demonstrated,11,1.45
heidelberg,10,1.32
becoming,10,1.32
physical,10,1.32
leveraging,10,1.32
inherent,10,1.32
partner,10,1.32
structures,10,1.32
prior,10,1.32
reveals,10,1.32
ppms,10,1.32
gathered,10,1.32
minimize,10,1.32
commercial,10,1.32
produce,10,1.32
raw,10,1.32
relation,10,1.32
explored,10,1.32
involves,10,1.32
petri,10,1.32
probability,10,1.32
leadership,10,1.32
feature,10,1.32
association,10,1.32
informed,10,1.32
inderscience,10,1.32
revealed,10,1.32
handling,10,1.32
executing,10,1.32
tests,10,1.32
incorporate,10,1.32
sensor,10,1.32
mission,10,1.32
pre,10,1.32
greater,10,1.32
berlin,10,1.32
uncertainties,10,1.32
intended,10,1.32
enactment,10,1.32
competition,10,1.32
adopting,10,1.32
leverage,10,1.32
evolving,10,1.32
determined,10,1.32
guidance,10,1.32
usability,10,1.32
optimized,10,1.32
variables,10,1.32
indirect,10,1.32
background,10,1.32
adopt,10,1.32
investigated,10,1.32
license,10,1.32
illustrated,10,1.32
twin,10,1.32
banking,10,1.32
facilitates,10,1.32
portfolio,10,1.32
composition,10,1.32
speed,10,1.32
emergency,10,1.32
incorporating,10,1.32
centers,10,1.32
systematically,10,1.32
bottom,10,1.32
basic,10,1.32
revenue,10,1.32
traces,10,1.32
remaining,10,1.32
extent,10,1.32
finding,10,1.32
pressure,10,1.32
trend,10,1.32
interesting,9,1.19
micro,9,1.19
proper,9,1.19
interventions,9,1.19
maintaining,9,1.19
graphical,9,1.19
digitalized,9,1.19
fields,9,1.19
reasons,9,1.19
assessed,9,1.19
containing,9,1.19
realized,9,1.19
costing,9,1.19
sensors,9,1.19
goods,9,1.19
possibility,9,1.19
deployed,9,1.19
heterogeneous,9,1.19
contributing,9,1.19
difficulties,9,1.19
assurance,9,1.19
executive,9,1.19
inputs,9,1.19
deviations,9,1.19
edi,9,1.19
purposes,9,1.19
faculty,9,1.19
instrumental,9,1.19
highlighting,9,1.19
prioritization,9,1.19
factory,9,1.19
tackle,9,1.19
audit,9,1.19
adding,9,1.19
reuse,9,1.19
savings,9,1.19
complicated,9,1.19
dashboard,9,1.19
argue,9,1.19
waste,9,1.19
repositories,9,1.19
active,9,1.19
xml,9,1.19
ensuring,9,1.19
vision,9,1.19
net,9,1.19
insight,9,1.19
largest,9,1.19
observation,9,1.19
telecommunications,9,1.19
precision,9,1.19
academics,9,1.19
powerful,9,1.19
kips,9,1.19
bottlenecks,9,1.19
instrument,9,1.19
volume,9,1.19
costly,9,1.19
analysing,9,1.19
gp,9,1.19
parallel,9,1.19
ba,9,1.19
typical,9,1.19
artifact,9,1.19
spatial,9,1.19
enhancement,9,1.19
causes,9,1.19
intervention,9,1.19
alternative,9,1.19
extracting,9,1.19
rap,9,1.19
satisfy,9,1.19
operate,9,1.19
annotations,9,1.19
accepted,9,1.19
understandable,9,1.19
commitment,9,1.19
autonomous,9,1.19
exclusive,9,1.19
unknown,9,1.19
computational,9,1.19
frequently,9,1.19
targeted,9,1.19
methodological,9,1.19
regulatory,9,1.19
extraction,9,1.19
occur,9,1.19
loan,9,1.19
percentage,9,1.19
dependent,9,1.19
efficacy,9,1.19
constraint,9,1.19
follows,9,1.19
referred,9,1.19
reduces,9,1.19
transition,9,1.19
highlighted,9,1.19
firstly,8,1.06
outsourcing,8,1.06
unit,8,1.06
explores,8,1.06
primarily,8,1.06
obtain,8,1.06
recording,8,1.06
ideas,8,1.06
portfolios,8,1.06
promising,8,1.06
suggested,8,1.06
relations,8,1.06
thermal,8,1.06
objects,8,1.06
prioritize,8,1.06
legacy,8,1.06
disruptive,8,1.06
specify,8,1.06
evolved,8,1.06
valuable,8,1.06
easily,8,1.06
ensemble,8,1.06
eight,8,1.06
petroleum,8,1.06
gas,8,1.06
solving,8,1.06
synthetic,8,1.06
ibm,8,1.06
documentation,8,1.06
applicable,8,1.06
error,8,1.06
administrative,8,1.06
profitability,8,1.06
solve,8,1.06
producing,8,1.06
robust,8,1.06
comprises,8,1.06
produced,8,1.06
guideline,8,1.06
considers,8,1.06
increases,8,1.06
feasible,8,1.06
hierarchical,8,1.06
remains,8,1.06
valid,8,1.06
developments,8,1.06
combining,8,1.06
suite,8,1.06
adequate,8,1.06
stored,8,1.06
material,8,1.06
clarity,8,1.06
graph,8,1.06
capturing,8,1.06
surgery,8,1.06
dynamically,8,1.06
tailored,8,1.06
execute,8,1.06
covers,8,1.06
heterogeneity,8,1.06
german,8,1.06
streams,8,1.06
gain,8,1.06
engagement,8,1.06
conclusion,8,1.06
assigned,8,1.06
desired,8,1.06
leverages,8,1.06
partial,8,1.06
faced,8,1.06
throughout,8,1.06
possibilities,8,1.06
francis,8,1.06
priority,8,1.06
customized,8,1.06
comfort,8,1.06
dedicated,8,1.06
gained,8,1.06
discovering,8,1.06
calls,8,1.06
contemporary,8,1.06
maximize,8,1.06
recognized,8,1.06
dw,8,1.06
reviewed,8,1.06
exploring,8,1.06
driving,8,1.06
adjust,8,1.06
classes,8,1.06
acquisition,8,1.06
pattern,8,1.06
extend,8,1.06
illustrates,8,1.06
actors,8,1.06
performances,8,1.06
modelled,8,1.06
hierarchy,8,1.06
behaviour,8,1.06
era,8,1.06
potentially,8,1.06
dynamics,8,1.06
taylor,8,1.06
aircraft,8,1.06
programming,8,1.06
po,8,1.06
details,8,1.06
implementations,8,1.06
scalability,8,1.06
citizens,8,1.06
align,8,1.06
rates,8,1.06
failures,8,1.06
synthesis,8,1.06
cep,8,1.06
enhancing,8,1.06
generally,8,1.06
examples,8,1.06
analytic,8,1.06
disruptions,8,1.06
educational,8,1.06
roles,8,1.06
depth,8,1.06
routing,8,1.06
forms,8,1.06
flows,8,1.06
worldwide,8,1.06
commonly,8,1.06
traceability,8,1.06
safety,8,1.06
numeric,8,1.06
comparing,8,1.06
realize,8,1.06
tenancy,8,1.06
consisting,8,1.06
linked,7,0.92
pipeline,7,0.92
interrelationships,7,0.92
textual,7,0.92
meaningful,7,0.92
confirmed,7,0.92
minimal,7,0.92
subsequently,7,0.92
establishing,7,0.92
probabilistic,7,0.92
relate,7,0.92
utilized,7,0.92
connected,7,0.92
precisely,7,0.92
operators,7,0.92
explainability,7,0.92
attributes,7,0.92
aggregate,7,0.92
commitments,7,0.92
interested,7,0.92
comparative,7,0.92
bpel,7,0.92
responsibilities,7,0.92
fit,7,0.92
advance,7,0.92
automating,7,0.92
semiconductor,7,0.92
collect,7,0.92
intention,7,0.92
strali,7,0.92
classifying,7,0.92
presenting,7,0.92
networked,7,0.92
lacking,7,0.92
mostly,7,0.92
object,7,0.92
amounts,7,0.92
clustering,7,0.92
partially,7,0.92
interactions,7,0.92
ultimate,7,0.92
outlines,7,0.92
adnoc,7,0.92
storage,7,0.92
repository,7,0.92
transactions,7,0.92
proposals,7,0.92
causal,7,0.92
reasoning,7,0.92
caused,7,0.92
estimation,7,0.92
plans,7,0.92
prevent,7,0.92
worst,7,0.92
establishment,7,0.92
engines,7,0.92
aggregation,7,0.92
dashboards,7,0.92
deeper,7,0.92
maps,7,0.92
semantics,7,0.92
classified,7,0.92
examined,7,0.92
assistance,7,0.92
guiding,7,0.92
collecting,7,0.92
interpretation,7,0.92
clients,7,0.92
evaluations,7,0.92
frequency,7,0.92
react,7,0.92
cycles,7,0.92
equipment,7,0.92
personnel,7,0.92
depending,7,0.92
bridge,7,0.92
courses,7,0.92
fill,7,0.92
analyst,7,0.92
electricity,7,0.92
interfaces,7,0.92
roadmap,7,0.92
agricultural,7,0.92
ppi,7,0.92
consumption,7,0.92
privacy,7,0.92
relative,7,0.92
automotive,7,0.92
yield,7,0.92
investigates,7,0.92
croatian,7,0.92
ppinot,7,0.92
anomalies,7,0.92
raise,7,0.92
peer,7,0.92
bottleneck,7,0.92
buildings,7,0.92
correct,7,0.92
theories,7,0.92
weights,7,0.92
output,7,0.92
terminal,7,0.92
macro,7,0.92
outperforms,7,0.92
deploying,7,0.92
coupled,7,0.92
notations,7,0.92
incorporates,7,0.92
static,7,0.92
inefficiencies,7,0.92
supplier,7,0.92
inner,7,0.92
creative,7,0.92
template,7,0.92
carry,7,0.92
universities,7,0.92
scaling,7,0.92
computation,7,0.92
majority,7,0.92
dea,7,0.92
necessity,7,0.92
readiness,7,0.92
transfer,7,0.92
frequent,7,0.92
mature,7,0.92
depends,7,0.92
utilize,7,0.92
continuity,7,0.92
exploiting,7,0.92
difficulty,7,0.92
sql,7,0.92
discrete,7,0.92
functionalities,7,0.92
machines,7,0.92
grounded,7,0.92
integral,7,0.92
situational,7,0.92
reviewing,7,0.92
planned,7,0.92
proactive,7,0.92
exchange,7,0.92
itil,7,0.92
ds,7,0.92
matrix,7,0.92
elaborated,7,0.92
affected,7,0.92
bda,7,0.92
linking,7,0.92
pathways,6,0.79
stochastic,6,0.79
lines,6,0.79
organize,6,0.79
violations,6,0.79
orders,6,0.79
sbp,6,0.79
actionable,6,0.79
reality,6,0.79
hypothesis,6,0.79
variability,6,0.79
dt,6,0.79
resilient,6,0.79
reliability,6,0.79
preferences,6,0.79
subset,6,0.79
acceptable,6,0.79
nevertheless,6,0.79
cpm,6,0.79
measurable,6,0.79
deploy,6,0.79
corporation,6,0.79
floor,6,0.79
drivers,6,0.79
czech,6,0.79
csfs,6,0.79
adapted,6,0.79
sigma,6,0.79
reactivation,6,0.79
confirms,6,0.79
insurance,6,0.79
responsibility,6,0.79
considerable,6,0.79
channel,6,0.79
turnaround,6,0.79
resulted,6,0.79
clam,6,0.79
redesigning,6,0.79
preparation,6,0.79
choosing,6,0.79
consequence,6,0.79
workers,6,0.79
element,6,0.79
shift,6,0.79
billing,6,0.79
repair,6,0.79
simulator,6,0.79
distance,6,0.79
partnership,6,0.79
characterized,6,0.79
balancing,6,0.79
sub,6,0.79
integrity,6,0.79
utilizing,6,0.79
sme,6,0.79
semi,6,0.79
similarity,6,0.79
materials,6,0.79
mix,6,0.79
strongly,6,0.79
bwe,6,0.79
landscape,6,0.79
newly,6,0.79
purchasing,6,0.79
extremely,6,0.79
queuing,6,0.79
equation,6,0.79
agenda,6,0.79
viewpoints,6,0.79
feed,6,0.79
decrease,6,0.79
incorporation,6,0.79
governments,6,0.79
ease,6,0.79
hidden,6,0.79
provision,6,0.79
accessible,6,0.79
pilot,6,0.79
seamless,6,0.79
sbpm,6,0.79
mitigate,6,0.79
reveal,6,0.79
auditing,6,0.79
ports,6,0.79
refining,6,0.79
offering,6,0.79
anomaly,6,0.79
expressed,6,0.79
foundations,6,0.79
containment,6,0.79
behaviors,6,0.79
records,6,0.79
named,6,0.79
integrates,6,0.79
views,6,0.79
disadvantages,6,0.79
file,6,0.79
participation,6,0.79
benchmarks,6,0.79
rpr,6,0.79
adequately,6,0.79
cbl,6,0.79
retail,6,0.79
