item,count,f
"BPM LIFECYCLE",2,0.26
"BUSINESS ACTIVITY MONITORING (BAM)",2,0.26
"BUSINESS CONTINUITY",2,0.26
"BUSINESS PERFORMANCE",2,0.26
"BUSINESS PERFORMANCE MONITORING",2,0.26
"BUSINESS PROCESS DESIGN",2,0.26
"BUSINESS PROCESS GOALS",2,0.26
"BUSINESS PROCESS MANAGEMENT SYSTEMS",2,0.26
"BUSINESS PROCESS MODE",2,0.26
"BUSINESS PROCESS MODEL AND NOTATION",2,0.26
"BUSINESS PROCESS OPTIMIZATION",2,0.26
"BUSINESS PROCESS PERFORMANCE",2,0.26
"CLINICAL RISK",2,0.26
"CONFORMANCE CHECKING",2,0.26
"CONSTRAINT PROGRAMMING",2,0.26
"CONTINUOUS IMPROVEMENT",2,0.26
"CROATIA",2,0.26
"DATA ANALYTICS",2,0.26
"DECISION MODEL AND NOTATION",2,0.26
"DECISION SUPPORT",2,0.26
"DELPHI STUDY",2,0.26
"DEVOPS",2,0.26
"DIGITAL INNOVATION",2,0.26
"DIGITAL TRANSFORMATION",2,0.26
"DIGITALISATION",2,0.26
"ENTERPRISE MODELING",2,0.26
"ENTERPRISE RESOURCE PLANNING",2,0.26
"ENVIRONMENTAL PERFORMANCE INDICATOR (EPI)",2,0.26
"ENVIRONMENTAL SUSTAINABILITY",2,0.26
"FINANCIAL PERFORMANCE",2,0.26
"FLEXIBILITY",2,0.26
"GOAL-ORIENTED MODELING",2,0.26
"GOALS",2,0.26
"GREEN IS",2,0.26
"HEALTH CARE PROCESS",2,0.26
"HEALTH INFORMATICS",2,0.26
"HIGHER EDUCATION",2,0.26
"INDEXED KEYWORDS",2,0.26
"INFORMATION",2,0.26
"INFORMATION SYSTEMS",2,0.26
"INTEGRATION",2,0.26
"LITERATURE REVIEW",2,0.26
"LOGISTICS",2,0.26
"MEASUREMENT",2,0.26
"METAMODELING",2,0.26
"METHODOLOGY",2,0.26
"MODELING",2,0.26
"MODELLING",2,0.26
"NOTATION",2,0.26
"PATTERNS",2,0.26
"PERFORMANCE METRICS",2,0.26
"PRACTICE",2,0.26
"PREDICTIVE PROCESS MONITORING",2,0.26
"PRESCRIPTIVE ANALYTICS",2,0.26
"PRESCRIPTIVE BUSINESS PROCESS MONITORING",2,0.26
"PROCESS AWARENESS",2,0.26
"PROCESS PERFORMANCE INDEX",2,0.26
"PROCESS PERFORMANCE INDICATOR",2,0.26
"PROCESS QUALITY",2,0.26
"PROCESS REDESIGN",2,0.26
"PUBLIC ADMINISTRATION",2,0.26
"QUALITY CONTROL",2,0.26
"QUALITY OF SERVICE",2,0.26
"RECOMMENDER SYSTEMS",2,0.26
"RELIABILITY",2,0.26
"RESEARCH WORK",2,0.26
"RFID",2,0.26
"RISK",2,0.26
"SCOR",2,0.26
"SERVICE INDUSTRIES",2,0.26
"SERVICE SCIENCE",2,0.26
"SOA",2,0.26
"SOCIAL NETWORK ANALYSIS",2,0.26
"STANDARDS",2,0.26
"STRATEGIC GOALS",2,0.26
"STRUCTURED LITERATURE REVIEW",2,0.26
"SUCCESS FACTORS",2,0.26
"SUSTAINABLE DEVELOPMENT",2,0.26
"SYLLABIC READING METHOD",2,0.26
"SYSTEM DYNAMICS",2,0.26
"TAXONOMY",2,0.26
"TEACHING-LEARNING METHODWHOLE-WORD",2,0.26
"TECHNOLOGY",2,0.26
"TEMPLATES",2,0.26
"TQM",2,0.26
"TRACE SIMULATION",2,0.26
"VISIBILITY",2,0.26
"WORKFLOW MANAGEMENT",2,0.26
"WORKFLOW MANAGEMENT SYSTEMS",2,0.26
"",1,0.13
"  DESIGN CASES  E-BUSINESS",1,0.13
"  INNOVATION",1,0.13
"  METRICS",1,0.13
"  REPOSITORY",1,0.13
" APPLICATION PROTOTYPING",1,0.13
" APPRAISALS AND REWARDS",1,0.13
" BPMN",1,0.13
" BUSINESS AGILITY",1,0.13
" BUSINESS PROCESS MANAGEMENT",1,0.13
" BUSINESS PROCESS MODEL DRIVEN ENGINEERING",1,0.13
" CASE STUDY",1,0.13
" DESIGN SCIENCE RESEARCH",1,0.13
" INFORMATION SYSTEMS USE",1,0.13
" KNOWLEDGE BASE",1,0.13
" MATURITY MODEL",1,0.13
" MATURITY MODELS ",1,0.13
" PERFORMANCE MANAGEMENT",1,0.13
" POST-ADOPTION",1,0.13
" PROCESS IMPLEMENTATION",1,0.13
" PROCESS MANAGEMENT",1,0.13
" PROCESS MINING",1,0.13
" REQUIREMENTS",1,0.13
" USE PATTERNS",1,0.13
" USER CATEGORIZATION",1,0.13
" USER EXPERIENCE",1,0.13
" WAITING TIME",1,0.13
" WEB ONTOLOGY",1,0.13
" WORKFLOW MODELING",1,0.13
" WORKFLOW SIMULATION",1,0.13
"(BUSINESS) PROCESS MANAGEMENT",1,0.13
")BUSINESS PROCESSES",1,0.13
"ABSTRACT GRAMMAR TREE (AST)",1,0.13
"ACCOUNTING",1,0.13
"ACCOUNTING INFORMATION SYSTEMS",1,0.13
"ACCURACY",1,0.13
"ACTION RESEARCH",1,0.13
"ACTIVE LEARNING",1,0.13
"ACUTE STRESS",1,0.13
"ADAPTIVE SERVICES",1,0.13
"ADDITIVE ENGINEERING",1,0.13
"ADOPTION OF BPM",1,0.13
"ADOPTION READINESS",1,0.13
"ADVANCED INDUSTRIAL ENGINEERING",1,0.13
"AGENT",1,0.13
"AGENTS",1,0.13
"AGILE SERVICE NETWORKS",1,0.13
"AI",1,0.13
"AIOPS",1,0.13
"AIRCRAFT PROCESSES",1,0.13
"ALIGNMENT",1,0.13
"AMBULATORY ASSESSMENT",1,0.13
"ANALYTIC",1,0.13
"ANALYTICAL DATA MODEL",1,0.13
"AND BPM",1,0.13
"AND KPI",1,0.13
"APACHE SPARK",1,0.13
"APPLICANT TRACKING SYSTEM",1,0.13
"AR",1,0.13
"ARCHITECTURE",1,0.13
"ARCHITECTURES",1,0.13
"ARIMA",1,0.13
"ARIS (ARCHITECTURE OF INTEGRATED INFORMATION SYSTEMS)",1,0.13
"ARTIFACT",1,0.13
"ARTIFCIAL NEURAL NETWORKS",1,0.13
"ARTIFICIAL INTELLIGENCE (AI)",1,0.13
"ARTIFICIAL NEURAL NETWORK",1,0.13
"ASDI",1,0.13
"ASSOCIATION RULES",1,0.13
"ATHLETE PERFORMANCE",1,0.13
"AUDIT",1,0.13
"AUDITING",1,0.13
"AUGMENTED ANALYTICS",1,0.13
"AUSTRIA",1,0.13
"AUTHORSHIP",1,0.13
"AUTOMATED BUSINESS PROCESSES",1,0.13
"AUTOMATED NEGOTIATIONS",1,0.13
"AUTOMATION",1,0.13
"AUTOMOTIVE INDUSTRY",1,0.13
"AUTOMOTIVE SUPPLY CHAIN",1,0.13
"AUTONOMIC PROCESS PERFORMANCE IMPROVEMENT",1,0.13
"B2LEAN METHODOLOGY",1,0.13
"BACK-OFFICE",1,0.13
"BALANCE SCORECARD",1,0.13
"BALANCED SCORECARD (BSC) METRICS",1,0.13
"BANK LOAN PROCESSES",1,0.13
"BANKING  AUSTRALIA",1,0.13
"BANKING PROCESSES",1,0.13
"BARRIERS",1,0.13
"BASKETBALL",1,0.13
"BATCH PROCESSING",1,0.13
"BATCH PROCESSING MACHINE",1,0.13
"BAYESIAN BELIEF NETWORK (BBN)",1,0.13
"BAYESIAN NETWORKS",1,0.13
"BED LOGISTICS",1,0.13
"BEST OF BREED",1,0.13
"BEST PRACTICEBUSINESS PROCESS MANAGEMENT",1,0.13
"BI-BPM ALIGNMENT",1,0.13
"BIBLIOMETRICS",1,0.13
"BIG DATA ANALYTICS",1,0.13
"BIOFEEDBACK",1,0.13
"BLA",1,0.13
"BOTTLENECK",1,0.13
"BOX-JENKINS",1,0.13
"BP",1,0.13
"BPEL",1,0.13
"BPEL4WS",1,0.13
"BPM (BUSINESS PROCESS MANAGEMENT)",1,0.13
"BPM APPROACH",1,0.13
"BPM ARCHITECTURE",1,0.13
"BPM COMPONENTS",1,0.13
"BPM CULTURE",1,0.13
"BPM EVALUATION FRAMEWORK",1,0.13
"BPM MATURITY",1,0.13
"BPM MATURITY MODELS (BPM MM)",1,0.13
"BPM PRACTICE",1,0.13
"BPMN EXTENSION",1,0.13
"BPMS",1,0.13
"BRAND LOYALTY",1,0.13
"BRANDS",1,0.13
"BROADCASTING",1,0.13
"BSC",1,0.13
"BUILDING ENVIRONMENTAL MODEL",1,0.13
"BUILDING INFORMATION MODEL",1,0.13
"BUILDING PERFORMANCE MODEL",1,0.13
"BUSINESS ANALYSIS",1,0.13
"BUSINESS ANALYTICS",1,0.13
"BUSINESS AND IT ALIGNMENT",1,0.13
"BUSINESS ARCHITECTURE",1,0.13
"BUSINESS AUTOMATION INSIGHTS",1,0.13
"BUSINESS GOAL",1,0.13
"BUSINESS INTELLIGENCE MODEL",1,0.13
"BUSINESS LEVEL AGREEMENT BUSINESS PROCESS MANAGEMENT",1,0.13
"BUSINESS MANAGEMENT SYSTEMS",1,0.13
"BUSINESS METRICS",1,0.13
"BUSINESS MODEL EVALUATION",1,0.13
"BUSINESS MODEL MANAGEMENT",1,0.13
"BUSINESS MODELLING",1,0.13
"BUSINESS MODELSBUSINESS PROCESSES",1,0.13
"BUSINESS ORGANIZATIONS",1,0.13
"BUSINESS PERFORMANCE MANAGEMENT (BPM)",1,0.13
"BUSINESS PERFORMANCE MEASUREMEN",1,0.13
"BUSINESS PERFORMANCE MEASUREMENT",1,0.13
"BUSINESS PERFORMANCEBUSINESS PROCESSES",1,0.13
"BUSINESS PROCES",1,0.13
"BUSINESS PROCESS (BP)",1,0.13
"BUSINESS PROCESS ARCHITECTURE",1,0.13
"BUSINESS PROCESS AUTOMATION",1,0.13
"BUSINESS PROCESS COMPLIANCE",1,0.13
"BUSINESS PROCESS COMPLIANCE CHECKING",1,0.13
"BUSINESS PROCESS COMPLIANCE MANAGEMENT",1,0.13
"BUSINESS PROCESS EXECUTION LANGUAGE",1,0.13
"BUSINESS PROCESS EXECUTION LANGUAGE FOR WEB SERVICES (BPEL4WS)",1,0.13
"BUSINESS PROCESS IMPROVEMENT PATTERNS",1,0.13
"BUSINESS PROCESS INNOVATION",1,0.13
"BUSINESS PROCESS LIFE CYCLE",1,0.13
"BUSINESS PROCESS MANAGEMENT (BPM",1,0.13
"BUSINESS PROCESS MANAGEMENT (BPM) ;SYNTAX-DIRECTED EDITOR GENERATOR ",1,0.13
"BUSINESS PROCESS MANAGEMENT . COLLABORATIVE",1,0.13
"BUSINESS PROCESS MANAGEMENT AND MODELING",1,0.13
"BUSINESS PROCESS MANAGEMENT CAPABILITIES",1,0.13
"BUSINESS PROCESS MANAGEMENT MATURITY",1,0.13
"BUSINESS PROCESS MANAGEMENT SYSTEM",1,0.13
"BUSINESS PROCESS MANAGEMENT SYSTEM (BPMS);DECISION SUPPORT;KEY PERFORMANCE INDICATORS (KPIS);PROCESSDESIGN",1,0.13
"BUSINESS PROCESS MANAGEMENT;ENTERPRISE ARCHITECTURE",1,0.13
"BUSINESS PROCESS MODEL AND NOTATION (BPMN)",1,0.13
"BUSINESS PROCESS MODEL AND NOTATION OPERATIONAL DATA MODEL",1,0.13
"BUSINESS PROCESS MODELING GENETIC ALGORITHM",1,0.13
"BUSINESS PROCESS MODELLING NOTATION",1,0.13
"BUSINESS PROCESS MODELLING NOTATION DECISION SUPPORT SYSTEM",1,0.13
"BUSINESS PROCESS ORIENTATION",1,0.13
"BUSINESS PROCESS PANAGEMENT SYSTEM",1,0.13
"BUSINESS PROCESS PERFORMANCE INDICATORS",1,0.13
"BUSINESS PROCESS QUALITY",1,0.13
"BUSINESS PROCESS RE-DESIGN",1,0.13
"BUSINESS PROCESS REDESIGN",1,0.13
"BUSINESS PROCESS REDESIGN (BPR)",1,0.13
"BUSINESS PROCESS REDESIGNHEALTH SYSTEMS",1,0.13
"BUSINESS PROCESS REENGINEERING (BPR)",1,0.13
"BUSINESS PROCESS RESILIENCE",1,0.13
"BUSINESS PROCESS TYPES",1,0.13
"BUSINESS PROCESSE",1,0.13
"BUSINESS PROCESSKEY PERFORMANCE INDICATORS",1,0.13
"BUSINESS RULE",1,0.13
"BUSINESS SHARE",1,0.13
"BUSINESS STRATEGY",1,0.13
"BUSINESS SYSTEMS",1,0.13
"BUSINESS-IT-ALIGNMENT",1,0.13
"CAPABILITY",1,0.13
"CAPABILITY DEVELOPMENT",1,0.13
"CAPABILITY FRAMEWORK",1,0.13
"CARE PATHWAYS",1,0.13
"CARE PROCESS",1,0.13
"CASE BASE REASONING (CBR)",1,0.13
"CASE STUDIES",1,0.13
"CASE STUDY RESEARCH",1,0.13
"CERTIFIED PUBLIC ACCOUNTING (CPA) FIRMS",1,0.13
"CFO",1,0.13
"CHANGE RISK ASSESSMENT MODEL",1,0.13
"CHAOTIC MAPS",1,0.13
"CHARACTERISTICS",1,0.13
"CHRONIC STRESS",1,0.13
"CITATION ANALYSIS",1,0.13
"CITATION PATH ANALYSIS",1,0.13
"CLINICAL DECISION SUPPORT SYSTEMS",1,0.13
"CLOUD BEHAVIOR MODELING",1,0.13
"CLOUD COMPUTING",1,0.13
"CLOUD NETWORK GOVERNANCE",1,0.13
"CLOUD SERVICE COMPOSITION",1,0.13
"CLOUD UTILIZATION SURVEY",1,0.13
"CLOUD/GRID COMPUTING",1,0.13
"CLOUDCOMPUTING",1,0.13
"CLUSTER ANALYSIS",1,0.13
"CLUSTER-TREE",1,0.13
"CMMS",1,0.13
"CO-ADAPTATION",1,0.13
"COLLABORATIVE BUSINESS PROCESS",1,0.13
"COLLABORATIVE BUSINESS PROCESSES",1,0.13
"COLLABORATIVE DISCUSSION",1,0.13
"COLLABORATIVE NETWORKS",1,0.13
"COMMUNICATION TECHNOLOGIES",1,0.13
"COMPANY",1,0.13
"COMPETITIVE ADVANTAGE",1,0.13
"COMPETITIVENESS",1,0.13
"COMPLEX EVENT PROCESSING (CEP)",1,0.13
"COMPLEX INFORMATION SYSTEMS",1,0.13
"COMPLIANCE",1,0.13
"COMPLIANCE ASSESSMENT",1,0.13
"COMPOSITE SERVICE MINING",1,0.13
"COMPREHENSIVE EVALUATION",1,0.13
"COMPUTATIONAL INTELLIGENCE FOR IS EVOLUTION",1,0.13
"COMPUTING",1,0.13
"CONCEPT DRIFT",1,0.13
"CONCEPTUAL MODEL",1,0.13
"CONCRETE SYNTAX",1,0.13
"CONSISTENCY",1,0.13
"CONSISTENT PROCESS/FORMAL MODEL",1,0.13
"CONSTRUCTION INDUSTRY",1,0.13
"CONSUMER BEHAVIOUR",1,0.13
"CONTAINER TERMINAL",1,0.13
"CONTEXT",1,0.13
"CONTEXT AWARENES",1,0.13
"CONTEXT-AWARE",1,0.13
"CONTEXTAWARE BPM",1,0.13
"CONTINGENCY",1,0.13
"CONTINGENCY THEORY",1,0.13
"CONTINUAL IMPROVEMENT",1,0.13
"CONTINUOUS BPM",1,0.13
"CONTROL THEORYENTERPRISE MODELLING",1,0.13
"CONTROLLING",1,0.13
"CONVOLUTION NEURAL NETWORK",1,0.13
"COORDINATED",1,0.13
"COORDINATED LEARNING",1,0.13
"COORDINATION THEORY",1,0.13
"CORE PROCESSES",1,0.13
"CORPORATE GOVERNANCE ",1,0.13
"CORPORATE PERFORMANCE MANAGEMENT",1,0.13
"CORPORATE PERFORMANCE MANAGEMENT (CPM)",1,0.13
"CORPORATE STRATEGY",1,0.13
"CORPORATION RESOURCES",1,0.13
"CORRECTION FACTORS",1,0.13
"COST BENEFIT CALCULATION",1,0.13
"COST DIMENSION",1,0.13
"COST PERFORMANCE ",1,0.13
"CREATIVITY",1,0.13
"CRITICAL LINKS",1,0.13
"CRITICAL SUCCESS FACTOR (CSF’S)",1,0.13
"CRITICAL SUCCESS FACTORS",1,0.13
"CROSS LAYER CONTROL",1,0.13
"CROSS-BORDER LOGISTICS",1,0.13
"CUMULATIVE TRAUMA DISORDERS",1,0.13
"CUSTOMER LOYALTY",1,0.13
"CUSTOMER SATISFACTION",1,0.13
"CUSTOMER SERVICE QUALITY",1,0.13
"CUSTOMER-CENTRIC MONITORING",1,0.13
"CYBER-PHYSICAL CONSISTENCY",1,0.13
"CYBER-PHYSICAL SYSTEMINTERNET OF SERVICES AND SERVICE SCIENCE",1,0.13
"CYBER-PHYSICAL SYSTEMS",1,0.13
"DAILY MANAGEMENT",1,0.13
"DASHBOARD",1,0.13
"DATA ANALYSI",1,0.13
"DATA ANALYTIC",1,0.13
"DATA ENVELOPMENT ANALYSIS",1,0.13
"DATA ENVELOPMENT ANALYSIS (DEA)",1,0.13
"DATA MINIG",1,0.13
"DATA MININGPREDICTION",1,0.13
"DATA MODEL",1,0.13
"DATA PERTURBATION",1,0.13
"DATA QUALITY",1,0.13
"DATA SCIENCE PIPELINES",1,0.13
"DATA-CENTRIC",1,0.13
"DATA-DRIVEN OPTIMISATION",1,0.13
"DATABASE",1,0.13
"DECENTRALISED DECISION-MAKING",1,0.13
"DECISION MAKING",1,0.13
"DECISION MODELING",1,0.13
"DECISION SUPPORTNO-CODE DIGITALIZATION",1,0.13
"DECISION—MAKING PROCESS",1,0.13
"DECLARATIVE BUSINESS PROCESS MODELS",1,0.13
"DELAY PROPAGATION",1,0.13
"DELPHI",1,0.13
"DEMATEL (DECISION MAKING TRIAL AND EVALUATION METHOD)",1,0.13
"DEPENDABLE PLANNING AND MANAGING METHODOLOGY",1,0.13
"DEPLOYMENT",1,0.13
"DESIGN CHAIN MANAGEMENT",1,0.13
"DESIGN PRINCIPLES",1,0.13
"DESIGN RESEARCH",1,0.13
"DESIGN SCIENCE",1,0.13
"DEVELOPING BENCHMARKS",1,0.13
"DEVELOPMEN",1,0.13
"DEVELOPMENT STRATEGY",1,0.13
"DEVIL’S QUADRANGLE",1,0.13
"DIAGNOSIS",1,0.13
"DIGITAL DASHBOARDS",1,0.13
"DIGITAL ENTERPRISE",1,0.13
"DIGITAL ENTREPRENEURSHIP",1,0.13
"DIGITAL HUMANITIES",1,0.13
"DIGITAL ORGANIZATIONAL TRANSFORMATION",1,0.13
"DIGITAL PROCESS TWIN",1,0.13
"DIGITAL SECURITY",1,0.13
"DIGITAL STARTUPS",1,0.13
"DIGITAL TECHNOLOGIES",1,0.13
"DIGITAL TECHNOLOGIES (DTS)",1,0.13
"DIGITAL TECHNOLOGY",1,0.13
"DISCRETE EVENT SIMULATION",1,0.13
"DISCRETE-EVENT SIMULATION",1,0.13
"DISPOSITION DECISION PREDICTION",1,0.13
"DISRUPTIONS",1,0.13
"DISTRIBUTED SIMULATION",1,0.13
"DISTRIBUTED SOFTWARE DEVELOPMENT",1,0.13
"DOCUMENT MANAGEMENT",1,0.13
"DOMAIN MODELING",1,0.13
"DOMAIN-SPECIFIC LANGUAGES",1,0.13
"DOMAIN-SPECIFIC MODELING LANGUAGE",1,0.13
"DUE-DATE BASED DISPATCHING RULE",1,0.13
"DUE-DATE BASED SCHEDULING OBJECTIVES",1,0.13
"DYNAMIC",1,0.13
"DYNAMIC BUSINESS PROCESSES",1,0.13
"DYNAMIC CAPABILITIES VIEW",1,0.13
"DYNAMIC SCHEDULING",1,0.13
"E-GOVERNMENT",1,0.13
"E-GOVERNMENTLOCAL GOVERNMENT",1,0.13
"E-HEALTH",1,0.13
"E-SUPPLY NETWORK COORDINATION",1,0.13
"EAM",1,0.13
"EARLINESS",1,0.13
"EARLY FUSION",1,0.13
"ECONOMY",1,0.13
"EDUCATION",1,0.13
"EDUCATION BUILDINGS",1,0.13
"EFCIENCY",1,0.13
"EFFICIENCY",1,0.13
"EFFICIENCY EVALUATION",1,0.13
"EGOVERNMENT",1,0.13
"ELECTRONIC COMMERCE",1,0.13
"ELECTRONIC DATA INTERCHANGE",1,0.13
"EMBEDDED ANALYTICS",1,0.13
"EMERGING TECHNOLOGIES",1,0.13
"EMOTIONAL INTELLIGENCE",1,0.13
"EMPIRICAL ASSESSMENT",1,0.13
"EMPIRICAL EVALUATION",1,0.13
"ENABLERS",1,0.13
"ENHANCED DATASETS",1,0.13
"ENTERPRISE AGILITY FOUNDATION",1,0.13
"ENTERPRISE ARCHITECTURE",1,0.13
"ENTERPRISE INFORMATION SYSTEMS",1,0.13
"ENTERPRISE PERFORMANCE MANAGEMENT (EPM)",1,0.13
"ENTERPRISE PERFORMANCE MANAGEMENT ;PERFORMANCE MEASUREMENT",1,0.13
"ENTERPRISE PROCESS MODELING",1,0.13
"ENTERPRISE RE-ENGINEERING",1,0.13
"ENTERPRISE RESILIENCE",1,0.13
"ENVIRONMENT-BASED DESIGN (EBD)",1,0.13
"ENVIRONMENTAL PERFORMANCE INDICATOR",1,0.13
"ENVIRONMENTAL PERFORMANCE INDICATORS (EPIS)",1,0.13
"EQUILIBRIUM",1,0.13
"ERGONOMICS",1,0.13
"ERP",1,0.13
"ESTIMATION",1,0.13
"EVALUATION",1,0.13
"EVALUATION INDICATORS",1,0.13
"EVALUATION OF SERVICES ENGINEERING",1,0.13
"EVALUATIONTAXONOMY",1,0.13
"EVENT LOG",1,0.13
"EVENT SEQUENCE DATA",1,0.13
"EVENT-DRIVEN BUSINESS PROCESS MANAGEMENT",1,0.13
"EXCELLENCE",1,0.13
"EXECUTION TRACES",1,0.13
"EXPERT INTERVIEWS",1,0.13
"EXPLAINABILITY",1,0.13
"EXPLAINABLE AI",1,0.13
"EXPLORATIVE BPM",1,0.13
"EXPLORATIVE RESEARCH",1,0.13
"EXTERNAL FLEXIBILITY",1,0.13
"FACIAL EMOTION RECOGNITION",1,0.13
"FACTOR ANALYSIS",1,0.13
"FACTOR INTERRELATIONSHIPS",1,0.13
"FEASIBILITY ANALYZER",1,0.13
"FFM",1,0.13
"FIELD ",1,0.13
"FIEXIBLE PROCESSES",1,0.13
"FINANCIAL FLEXIBILITY",1,0.13
"FLOW SHOP",1,0.13
"FOCUS GROUPS",1,0.13
"FORECASTING APPROACH",1,0.13
"FORMALIZATION",1,0.13
"FRAMEWORK",1,0.13
"FRAMEWORK DEVELOPMENT",1,0.13
"FUEL SUPPLY PROCESS",1,0.13
"FUNCTIONS",1,0.13
"FUZZY LOGIC ",1,0.13
"GAME PERFORMANCE",1,0.13
"GAMIFCATION",1,0.13
"GENERIC",1,0.13
"GENETIC ALGORITHM",1,0.13
"GLOBAL",1,0.13
"GLOBAL ECONOMIC CRISISINFORMATICS",1,0.13
"GLOBALIZATION",1,0.13
"GOAL MINING",1,0.13
"GOAL-BASED MODEL",1,0.13
"GOVERNANCE",1,0.13
"GPT",1,0.13
"GRAMMAR INFERENCE",1,0.13
"GRAPH EDIT DISTANCE",1,0.13
"GRAPH MATCHING",1,0.13
"GRAPH NEURAL NETWORKS",1,0.13
"GRAPHICAL NOTATION",1,0.13
"GREEDY HEURISTIC ALGORITHM",1,0.13
"GREEN PERFORMANCE INDICATORS",1,0.13
"GREEN SUPPLY-CHAIN MANAGEMENT",1,0.13
"GREY BASED DEMATEL METHOD (GREY-DEMATEL)",1,0.13
"GREY SET THEORY",1,0.13
"GRID",1,0.13
"GROUNDED THEORY",1,0.13
"HAMEDAN MUNICIPALITY",1,0.13
"HAMEDAN PROVINCE",1,0.13
"HEALTH",1,0.13
"HEALTH CARE MANAGEMENT",1,0.13
"HEALTH MANAGEMENT",1,0.13
"HEALTH SECTOR",1,0.13
"HEALTHCARE BUSINESS PROCESS",1,0.13
"HEALTHCARE MANAGEMENT",1,0.13
