item,count,f
"PERU",2,0.26
"PIVOTAL",2,0.26
"POLICIES",2,0.26
"POLICY",2,0.26
"PORT",2,0.26
"POTENTIALS",2,0.26
"PPINOT",2,0.26
"PRINCIPLES",2,0.26
"PROBLEM",2,0.26
"PROCEDURAL",2,0.26
"PROCEDURE",2,0.26
"PROGRAM",2,0.26
"PUBLICATION",2,0.26
"PURCHASING",2,0.26
"QOS",2,0.26
"QUANTITATIVE",2,0.26
"QUERYING",2,0.26
"RAP",2,0.26
"RATE",2,0.26
"READING",2,0.26
"RECOMMENDING",2,0.26
"REGION",2,0.26
"REINFORCEMENT",2,0.26
"RELATION",2,0.26
"RELIABILITY",2,0.26
"REMAINING",2,0.26
"RENOVATION",2,0.26
"REPORT",2,0.26
"REPORTING",2,0.26
"REPOSITORIES",2,0.26
"REPOSITORY",2,0.26
"RESILIENT",2,0.26
"RESPOND",2,0.26
"REVENUE",2,0.26
"RIGHT",2,0.26
"RISK-AWARE",2,0.26
"ROADMAP",2,0.26
"SALES",2,0.26
"SAP",2,0.26
"SCALABLE",2,0.26
"SCALE",2,0.26
"SCENARIOS",2,0.26
"SCHOOLS",2,0.26
"SCM",2,0.26
"SEARCH",2,0.26
"SECURITY",2,0.26
"SELF-ADAPTIVE",2,0.26
"SEMICONDUCTOR",2,0.26
"SENSE",2,0.26
"SEQUENCE",2,0.26
"SHOP",2,0.26
"SIMILARITY",2,0.26
"SIMULATING",2,0.26
"SLA-AWARE",2,0.26
"SME",2,0.26
"SOLUTION",2,0.26
"SOUTH",2,0.26
"SPORTS",2,0.26
"STATE",2,0.26
"STATE-OF-THE-ART",2,0.26
"STRUCTURAL",2,0.26
"STRUCTURED",2,0.26
"STUDIES",2,0.26
"SUCCESSFUL",2,0.26
"SUPPLIER",2,0.26
"SUPPORTING",2,0.26
"SURGERY",2,0.26
"SWARM",2,0.26
"TASKS",2,0.26
"TEACHING-LEARNING",2,0.26
"TECHNICAL",2,0.26
"TEMPLATES",2,0.26
"TEMPORAL",2,0.26
"TERMINAL",2,0.26
"TESTING",2,0.26
"THINKING",2,0.26
"TIMES",2,0.26
"TRACKED",2,0.26
"TRANSPARENCY",2,0.26
"TRENDS",2,0.26
"TWIN",2,0.26
"TWINS",2,0.26
"UNCERTAIN",2,0.26
"UNDER",2,0.26
"UNITS",2,0.26
"USED",2,0.26
"VALUE-BASED",2,0.26
"VARIABILITY",2,0.26
"VERIFICATION",2,0.26
"VISUALIZATION",2,0.26
"WAREHOUSING",2,0.26
"WASTE",2,0.26
"WORK",2,0.26
"WORKPLACE",2,0.26
"WORKSHOPS",2,0.26
"1000",1,0.13
"10TH",1,0.13
"1878",1,0.13
"18TH",1,0.13
"1999",1,0.13
"19TH",1,0.13
"2003",1,0.13
"2007",1,0.13
"2012",1,0.13
"2015",1,0.13
"2019PROCEEDINGS",1,0.13
"2020",1,0.13
"2021",1,0.13
"2021PROCEEDINGS",1,0.13
"2022",1,0.13
"20TH",1,0.13
"35TH",1,0.13
"3D",1,0.13
"52012",1,0.13
"55",1,0.13
"85",1,0.13
"8TH",1,0.13
"AAL",1,0.13
"ABDOMINAL",1,0.13
"ABSTRACTIONS",1,0.13
"ACADEMIC",1,0.13
"ACADEMY",1,0.13
"ACCELERATE",1,0.13
"ACCELERATING",1,0.13
"ACCREDITATION",1,0.13
"ACCURACY",1,0.13
"ACHIEVEMENT",1,0.13
"ACT",1,0.13
"ACTIGRAM",1,0.13
"ACTION",1,0.13
"ACTIONABLE",1,0.13
"ACTIVITY-BASED",1,0.13
"ACTUALLY",1,0.13
"ADDITIONAL",1,0.13
"ADMISSION",1,0.13
"ADNOCS",1,0.13
"ADOPTING",1,0.13
"AFFECTING",1,0.13
"AGE",1,0.13
"AGENCY",1,0.13
"AGENT",1,0.13
"AGGREGATED",1,0.13
"AGRICULTURAL",1,0.13
"AGRITOURISM",1,0.13
"AHEAD",1,0.13
"AHP",1,0.13
"AI",1,0.13
"AI-EMPOWERED",1,0.13
"AI-ENABLED",1,0.13
"AI4BPM",1,0.13
"AID",1,0.13
"AIRPORT",1,0.13
"ALIGN",1,0.13
"ALIVE",1,0.13
"ALONG",1,0.13
"ALTERNATIVE",1,0.13
"AMCIS",1,0.13
"AMERICAS",1,0.13
"AMPLIFYING",1,0.13
"ANALYSING",1,0.13
"ANALYTICAL",1,0.13
"ANALYZE",1,0.13
"AND SYLLABIC",1,0.13
"ANNOTATIONS",1,0.13
"ANOMALIES",1,0.13
"ANOMALOUS",1,0.13
"ANOMALY",1,0.13
"APP",1,0.13
"APPLICABILITY",1,0.13
"APPLICANT",1,0.13
"APPOINTMENT",1,0.13
"APPRAISAL",1,0.13
"APPRAISALS",1,0.13
"APPROACHING",1,0.13
"AROUSAL",1,0.13
"ARTIFACT-CENTRIC",1,0.13
"ASIAN",1,0.13
"ASPECTS",1,0.13
"ASPECTS-BASED",1,0.13
"ASSESS",1,0.13
"ASSET",1,0.13
"ASSISTANCE",1,0.13
"ASSOCIATIONS",1,0.13
"ASSURANCE",1,0.13
"ATEFEH",1,0.13
"ATTACKS",1,0.13
"AUGMENTING",1,0.13
"AUSTRALIA",1,0.13
"AUTOMATE",1,0.13
"AUTOMATING",1,0.13
"AUTOMATION-A",1,0.13
"AUTOMOBILE",1,0.13
"AUTOTHERM",1,0.13
"AVAILABLE",1,0.13
"AVERAGES",1,0.13
"AWARE",1,0.13
"AWARENESS",1,0.13
"AXEBALANCING",1,0.13
"A MANAGERIAL",1,0.13
"A SYSTEMATIC",1,0.13
"B2B",1,0.13
"B2LEAN",1,0.13
"BALANCING",1,0.13
"BANDIT",1,0.13
"BANK",1,0.13
"BARON",1,0.13
"BARRIERS",1,0.13
"BASIC",1,0.13
"BASIS",1,0.13
"BASKETBALL",1,0.13
"BEER",1,0.13
"BEGINNING",1,0.13
"BEHAVIOR-AWARE",1,0.13
"BENEFIT",1,0.13
"BETTER",1,0.13
"BI",1,0.13
"BILLING",1,0.13
"BIM-BPM-BEM",1,0.13
"BIMBPMBEM",1,0.13
"BINARY",1,0.13
"BIOFEEDBACK",1,0.13
"BIR",1,0.13
"BIZAGI",1,0.13
"BLOCKCHAIN",1,0.13
"BLOCKCHAIN-ENABLED",1,0.13
"BOARDROOM",1,0.13
"BOOTSTRAPPING",1,0.13
"BP",1,0.13
"BP-MEET-IOT",1,0.13
"BPM-BASED",1,0.13
"BPM-D",1,0.13
"BPM-SOA-BASED",1,0.13
"BPM-TPM",1,0.13
"BPMN20",1,0.13
"BPMS-RA",1,0.13
"BPMS2",1,0.13
"BPMT",1,0.13
"BPO",1,0.13
"BPR",1,0.13
"BPS",1,0.13
"BRANCH",1,0.13
"BRANDT",1,0.13
"BRAZIL",1,0.13
"BREEDING",1,0.13
"BRIDGING",1,0.13
"BROADCASTING",1,0.13
"BT",1,0.13
"BUDGET",1,0.13
"BUDGETINGS",1,0.13
"BUILDINGA",1,0.13
"BUILDINGS-A",1,0.13
"BULLWHIP",1,0.13
"BUSINESS-ACTORS",1,0.13
"BUSINESS-DRIVEN",1,0.13
"BUSINESS-IT",1,0.13
"BUSINESS-ORIENTED",1,0.13
"BUSINESS-PROCESS-DRIVEN",1,0.13
"BUSINESS-RELATED",1,0.13
"BUYER-SUPPLIER",1,0.13
"CALCULATING",1,0.13
"CALL",1,0.13
"CALLS",1,0.13
"CAPITAL",1,0.13
"CAPTURE",1,0.13
"CAPTURING",1,0.13
"CAR",1,0.13
"CARD",1,0.13
"CARDIAC",1,0.13
"CARROTS",1,0.13
"CATALOGS",1,0.13
"CATEGORIES",1,0.13
"CDSS",1,0.13
"CENTRALITY",1,0.13
"CENTRIC",1,0.13
"CHAOTIC",1,0.13
"CHARACTERISATION",1,0.13
"CHARACTERISTICS",1,0.13
"CHARACTERIZATION",1,0.13
"CHECKING",1,0.13
"CHECKPOINT",1,0.13
"CHECKPOINTS",1,0.13
"CHEE",1,0.13
"CHOPPING",1,0.13
"CHOREOGRAPHIES",1,0.13
"CITATION",1,0.13
"CITY",1,0.13
"CIVIL",1,0.13
"CLAM",1,0.13
"CLASSIFIERS",1,0.13
"CLIENT",1,0.13
"CLINIC",1,0.13
"CLOSING",1,0.13
"CLOTHING",1,0.13
"CLOUD-BASED",1,0.13
"CLOUD-COMPUTING",1,0.13
"CLOUDY",1,0.13
"CLUSTER-TREE",1,0.13
"CLUSTERING",1,0.13
"CMMS",1,0.13
"COBIT",1,0.13
"COCKPIT",1,0.13
"CODE",1,0.13
"COGNITIVE",1,0.13
"COHERENT",1,0.13
"COLLISION",1,0.13
"COLORED",1,0.13
"COMBINATION",1,0.13
"COMFORT",1,0.13
"COMMERCE",1,0.13
"COMMERCIAL",1,0.13
"COMMITMENT",1,0.13
"COMMITMENTS",1,0.13
"COMMONALITIES",1,0.13
"COMMUNICATION",1,0.13
"COMPARING",1,0.13
"COMPETENCIES",1,0.13
"COMPLEXITY",1,0.13
"COMPLIANCE-CHECKING",1,0.13
"COMPONENT",1,0.13
"COMPONENTS",1,0.13
"COMPOSITIONS",1,0.13
"COMPUTATIONAL",1,0.13
"COMPUTER",1,0.13
"COMPUTER-BASED",1,0.13
"COMPUTER-MEDIATED",1,0.13
"CONCERNING",1,0.13
"CONCERNS",1,0.13
"CONDITIONS",1,0.13
"CONFIGURATION",1,0.13
"CONFIGURING",1,0.13
"CONSIDERATIONS",1,0.13
"CONSIDERING",1,0.13
"CONSISTENT",1,0.13
"CONSTANT",1,0.13
"CONSTRAINED",1,0.13
"CONSTRAINT-BASED",1,0.13
"CONSTRUCTS",1,0.13
"CONTACT",1,0.13
"CONTAINER",1,0.13
"CONTAINERS",1,0.13
"CONTAINMENT",1,0.13
"CONTEMPORARY",1,0.13
"CONTEXT-AWARE",1,0.13
"CONTEXT-BASED",1,0.13
"CONTEXT-DRIVEN",1,0.13
"CONTEXTUAL",1,0.13
"CONTINUITY",1,0.13
"CONTRACTOR",1,0.13
"CONTRACTS",1,0.13
"CONTRIBUTION",1,0.13
"CONTRIBUTIONS",1,0.13
"CONTROLLING",1,0.13
"CONVENTIONAL",1,0.13
"CONVERSATIONAL",1,0.13
"CONVOLUTIONAL",1,0.13
"COORDINATED",1,0.13
"COPD",1,0.13
"COSTING",1,0.13
"COSTPERFORMANCE",1,0.13
"COUNT",1,0.13
"COURSE",1,0.13
"COVERAGE-BASED",1,0.13
"CPA",1,0.13
"CPSS",1,0.13
"CRAFTING",1,0.13
"CREATIVITY",1,0.13
"CREDIT",1,0.13
"CRITERIA",1,0.13
"CRITICALITY",1,0.13
"CRITICISM",1,0.13
"CROSS-BENCHMARK",1,0.13
"CROSS-BORDER",1,0.13
"CROSS-CASE",1,0.13
"CROSS-ORGANIZATIONAL",1,0.13
"CRUDE",1,0.13
"CSP",1,0.13
"CULTURE",1,0.13
"CUMULATIVE",1,0.13
"CURRENT",1,0.13
"CYBER-PHYSICAL",1,0.13
"CYCLES",1,0.13
"CZECH",1,0.13
"DAC",1,0.13
"DAILY",1,0.13
"DANISH",1,0.13
"DARK",1,0.13
"DASHBOARDS",1,0.13
"DATA-AI-BLOCKCHAIN",1,0.13
"DATA-AWARE",1,0.13
"DATA-CLOUD",1,0.13
"DATASET",1,0.13
"DATASETS",1,0.13
"DB",1,0.13
"DEA",1,0.13
"DEAD",1,0.13
"DEADLINE",1,0.13
"DEAL",1,0.13
"DEC2H",1,0.13
"DECENTRALISED",1,0.13
"DECISION-INTENSIVE",1,0.13
"DECISIONAL",1,0.13
"DECLARATIVE",1,0.13
"DEDICATION",1,0.13
"DEFINED",1,0.13
"DEFINITIONS",1,0.13
"DEMAND",1,0.13
"DEPARTMENTS",1,0.13
